Purchase ID,Customer ID,Product ID,Quantity,Purchase Date,Discount Applied
1001,ED9336,P001,1,2025-01-05,Yes
1002,MV8927,P002,1,2025-01-05,Yes
1003,LX6917,P004,1,2025-01-06,No
1004,VU7300,P008,1,2025-01-07,Yes
1005,NR2536,P016,1,2025-01-08,Yes
1006,MP5315,P006,1,2025-01-09,Yes
1007,NV2388,P007,2,2025-01-10,No
1008,SF0140,P013,1,2025-01-11,Yes
1009,KV2674,P017,1,2025-01-12,No
1010,YU0168,P012,3,2025-01-13,Yes
1011,YR3101,P015,1,2025-01-14,Yes
1012,UV5172,P009,1,2025-01-15,Yes
1013,ZH5770,P021,1,2025-01-16,No
1014,VW9193,P023,1,2025-01-17,Yes
1015,EH7094,P026,2,2025-01-18,No
1016,ZL8234,P001,1,2025-01-19,Yes
1017,II4718,P005,1,2025-01-20,Yes
1018,FQ4565,P003,1,2025-01-21,Yes
1019,QT4836,P002,1,2025-01-22,No
1020,OE3238,P004,1,2025-01-23,Yes
1021,EZ9738,P010,1,2025-01-24,No
1022,QG0964,P018,1,2025-01-25,Yes
1023,DB7047,P020,1,2025-01-26,Yes
1024,EY6822,P011,1,2025-01-27,No
1025,KM7183,P014,2,2025-01-28,Yes
1026,ZX9020,P019,1,2025-01-29,No
1027,VV4055,P022,1,2025-01-30,Yes
1028,AO7401,P025,1,2025-01-31,Yes
1029,ZS4131,P028,1,2025-02-01,Yes
1030,ZR5654,P027,1,2025-02-02,No
1031,DQ8315,P029,1,2025-02-03,Yes
1032,TP5444,P030,1,2025-02-04,No
1033,IA8629,P006,1,2025-02-05,Yes
1034,EV1368,P008,1,2025-02-06,Yes
1035,RO1606,P009,1,2025-02-07,Yes
1036,AJ2648,P007,1,2025-02-08,No
1037,EO8639,P013,1,2025-02-09,Yes
1038,VU2050,P017,1,2025-02-10,No
1039,JX2326,P015,1,2025-02-11,Yes
1040,YD2042,P016,1,2025-02-12,Yes
1041,PG0530,P021,2,2025-02-13,Yes
1042,OC1259,P023,1,2025-02-14,No
1043,VJ8470,P025,1,2025-02-15,Yes
1044,FL5936,P026,1,2025-02-16,No
1045,VK8067,P001,1,2025-02-17,Yes
1046,KY1940,P005,1,2025-02-18,Yes
1047,YT7768,P002,1,2025-02-19,Yes
1048,IE7850,P004,1,2025-02-20,No
1049,AK8046,P010,1,2025-02-21,Yes
1050,UH7092,P018,1,2025-02-22,No
1051,ZF4691,P020,1,2025-02-23,Yes
1052,SO0001,P028,1,2025-02-24,Yes
1053,OI6869,P027,3,2025-02-25,Yes
1054,IN9163,P030,1,2025-02-26,Yes
1055,ED9336,P006,1,2025-02-27,Yes
1056,MV8927,P008,1,2025-02-28,Yes
1057,LX6917,P009,2,2025-03-01,No
1058,VU7300,P007,1,2025-03-02,Yes
1059,NR2536,P013,1,2025-03-03,Yes
1060,MP5315,P017,1,2025-03-04,Yes
1061,NV2388,P015,1,2025-03-05,No
1062,SF0140,P016,1,2025-03-06,Yes
1063,KV2674,P021,1,2025-03-07,No
1064,YU0168,P023,1,2025-03-08,Yes
1065,YR3101,P025,1,2025-03-09,Yes
1066,UV5172,P026,1,2025-03-10,Yes
1067,ZH5770,P001,1,2025-03-11,No
1068,VW9193,P005,1,2025-03-12,Yes
1069,EH7094,P002,1,2025-03-13,No
1070,ZL8234,P004,1,2025-03-14,Yes
1071,II4718,P010,1,2025-03-15,Yes
1072,FQ4565,P018,1,2025-03-16,Yes
1073,QT4836,P020,1,2025-03-17,No
1074,OE3238,P028,1,2025-03-18,Yes
1075,EZ9738,P027,1,2025-03-19,No
1076,QG0964,P030,2,2025-03-20,Yes
1077,DB7047,P006,1,2025-03-21,Yes
1078,EY6822,P008,1,2025-03-22,No
1079,KM7183,P009,1,2025-03-23,Yes
1080,ZX9020,P007,1,2025-03-24,No
1081,VV4055,P013,1,2025-03-25,Yes
1082,AO7401,P017,1,2025-03-26,Yes
1083,ZS4131,P015,1,2025-03-27,Yes
1084,ZR5654,P016,1,2025-03-28,No
1085,DQ8315,P021,1,2025-03-29,Yes
1086,TP5444,P023,1,2025-03-30,No
1087,IA8629,P025,1,2025-03-31,Yes
