Customer ID,Discount Offer,Campaign,Discount Percentage
ED9336,10% off,Email,10
MV8927,20% off,Email,20
LX6917,15% off,Email,15
VU7300,10% off,Email,10
NR2536,25% off,Email,25
MP5315,10% off,Email,10
NV2388,No Discount,Email,0
SF0140,20% off,Email,20
KV2674,15% off,Email,15
YU0168,10% off,Email,10
YR3101,25% off,Email,25
UV5172,10% off,Email,10
ZH5770,No Discount,Email,0
VW9193,20% off,Email,20
EH7094,15% off,Email,15
ZL8234,10% off,Email,10
II4718,25% off,Email,25
FQ4565,10% off,Email,10
QT4836,No Discount,Email,0
OE3238,20% off,Email,20
EZ9738,15% off,Email,15
QG0964,10% off,Email,10
DB7047,10% off,Email,10
EY6822,No Discount,Email,0
KM7183,20% off,Email,20
ZX9020,15% off,Email,15
VV4055,10% off,Email,10
AO7401,25% off,Email,25
ZS4131,10% off,Email,10
ZR5654,No Discount,Email,0
DQ8315,20% off,Email,20
TP5444,15% off,Email,15
IA8629,10% off,Email,10
EV1368,25% off,Email,25
RO1606,10% off,Email,10
AJ2648,No Discount,Email,0
EO8639,20% off,Email,20
VU2050,15% off,Email,15
JX2326,10% off,Email,10
YD2042,25% off,Email,25
PG0530,10% off,Email,10
OC1259,No Discount,Email,0
VJ8470,20% off,Email,20
FL5936,15% off,Email,15
VK8067,10% off,Email,10
KY1940,25% off,Email,25
YT7768,10% off,Email,10
IE7850,No Discount,Email,0
AK8046,20% off,Email,20
UH7092,No Discount,Email,0
